state_fips,state_name,n_respondents,baseline,glm_mrp,glmer_mrp,srp,mrdeep,glmerstan
33,New Hampshire,4,1.0,0.7037864422824068,0.6288328808890071,0.6263712302888553,0.5793393,0.6459162657764266
34,New Jersey,28,0.6428571428571429,0.6723512049622352,0.6663098336210992,0.6682014459805174,0.582561,0.670861332
35,New Mexico,6,0.8333333333333334,0.734667826919206,0.7320014839975534,0.6674837051201742,0.5845661,0.7339122024937712
36,New York,58,0.7586206896551724,0.7222532025792296,0.6999447904283702,0.6644392141505336,0.5833839,0.7063161076212371
37,North Carolina,32,0.4375,0.5727647558608687,0.6201491392921904,0.6436692955036972,0.5818289,0.611227925
38,North Dakota,2,0.5,0.8407426396971442,0.7651954314813776,0.6229197380433176,0.5824784,0.7726911963734274
39,Ohio,35,0.6857142857142857,0.662957969996444,0.5909301064349245,0.617635402,0.5828724,0.617608512
40,Oklahoma,12,0.4166666666666667,0.48215805476847956,0.5367526014280887,0.6078551214993976,0.581354,0.5128227480677812
41,Oregon,13,0.7692307692307693,0.7010538122381148,0.6945160599850317,0.6427865579269507,0.5791424,0.705409443
42,Pennsylvania,38,0.5526315789473685,0.6651999241820413,0.6329304551206244,0.6360616705271036,0.5829299,0.6426841469696214
44,Rhode Island,3,1.0,0.730346632681334,0.6761719020911865,0.63844705,0.57782894,0.6811620441090567
45,South Carolina,16,0.625,0.5433124564275188,0.5714581818725432,0.6254016335934675,0.58265215,0.555074775
46,South Dakota,3,0.3333333333333333,0.4496038996065495,0.5061975549305637,0.6068996188021512,0.58276844,0.4883384006929298
47,Tennessee,20,0.4,0.5365942777374679,0.5090496485598879,0.6167302683158126,0.5831064,0.5217440373043607
48,Texas,88,0.625,0.6248897978444355,0.666952896,0.6603733186897748,0.5810661,0.6568891762008776
49,Utah,10,0.6,0.5243908651907518,0.5674054654104138,0.6168330454477385,0.5839258,0.5559624849630772
50,Vermont,2,0.5,0.8124836815639962,0.7445721672623044,0.6270779697431981,0.57894933,0.7570411085307498
51,Virginia,26,0.6923076923076923,0.6118782272239232,0.6699810807931065,0.6464910424961426,0.583719,0.6446261544892287
53,Washington,22,0.7727272727272727,0.7000020532467296,0.7078684866370363,0.6383438505286732,0.5846232,0.7013270390438028
54,West Virginia,5,0.4,0.6156668991242312,0.5661150363772617,0.5908660687721053,0.58203787,0.575353553
55,Wisconsin,18,0.7777777777777778,0.6707439599594742,0.6289179935479734,0.6189368725418847,0.5821157,0.6365805492918308
56,Wyoming,2,0.5,0.8790152269099691,0.8059869401552201,0.6162988964575472,0.58050317,0.8056087611544754
