state_fips,state_name,n_respondents,baseline,glm_mrp,glmer_mrp,srp,glmerstan,mrdeep
23,Maine,12,0.75,0.7186322017735314,0.610928706008507,0.6037180116931307,0.6405973069069336,0.64678246
24,Maryland,56,0.6071428571428571,0.6220106209075389,0.6671427666562276,0.6445451119325315,0.6523384636915571,0.6851596
25,Massachusetts,61,0.7049180327868853,0.7837315724289077,0.6900136049009777,0.6472172478352018,0.7144813385590728,0.7048909
26,Michigan,88,0.5568181818181818,0.5790116812553909,0.5743345916212392,0.5986848127736496,0.5734005110306862,0.616373
27,Minnesota,51,0.5490196078431373,0.6069844944369158,0.6089301428011171,0.6075681429713419,0.6082758184332268,0.5496416
28,Mississippi,26,0.6538461538461539,0.5698303978264238,0.5529126034990247,0.6218140838671776,0.5659806887984251,0.5936046
29,Missouri,56,0.6607142857142857,0.5886378449615193,0.5723810015820696,0.6017408141517343,0.5851933673387383,0.6298121
30,Montana,10,0.8,0.5949447259193044,0.567037537689931,0.5994604305322322,0.5763215725194403,0.65844446
31,Nebraska,18,0.5,0.5715559799786394,0.5515275970822825,0.599143517701636,0.5547891043087431,0.59183586
32,Nevada,29,0.5172413793103449,0.6418797061915881,0.6445218784294598,0.6355179267306877,0.6438531352218498,0.5823659
33,New Hampshire,13,0.8461538461538461,0.7117104467956664,0.5969699718493486,0.6107540028789733,0.6288048145568916,0.7133773
34,New Jersey,83,0.6867469879518072,0.6502356121755708,0.6596348453315939,0.6586925131793793,0.6603464643296199,0.6615969
35,New Mexico,19,0.631578947368421,0.6354327565290605,0.6528100962913598,0.6467819169792325,0.6567324559441925,0.5948644
36,New York,176,0.7272727272727273,0.7353528427118721,0.7320010388041267,0.6882093195386376,0.7308725006569022,0.68678164
37,North Carolina,95,0.631578947368421,0.5761669762845093,0.6015914402628281,0.6139766593474761,0.5986032862459161,0.68554914
38,North Dakota,7,0.7142857142857143,0.5860418356737934,0.546359346326172,0.5912083604315784,0.5597330766082962,0.6928927
39,Ohio,106,0.6037735849056604,0.5802423937820512,0.568267243562598,0.5955400061443101,0.5762214256813127,0.59884775
40,Oklahoma,36,0.5277777777777778,0.5495586781210219,0.5631306784904728,0.59798790210692,0.5557020557737622,0.5802022
41,Oregon,38,0.7105263157894737,0.6536379322245462,0.6570705976371484,0.619653379520656,0.6609490220638805,0.6359245
42,Pennsylvania,115,0.5739130434782609,0.5859751833138375,0.6056591943849509,0.6112648068853228,0.6003101504530008,0.5652271
44,Rhode Island,8,0.5,0.7136975294510166,0.6110056751099411,0.6248248876077659,0.6349674411907339,0.5853951
45,South Carolina,48,0.4583333333333333,0.555682987148385,0.5721658028839012,0.6019066225114973,0.5553375072770262,0.57021713
46,South Dakota,8,0.375,0.5558737602677948,0.5212371073276522,0.5906059930875869,0.5232713259618472,0.573574
47,Tennessee,63,0.5714285714285714,0.5950321470091439,0.5685935998266075,0.604147019902333,0.5772696938907814,0.5545431
48,Texas,269,0.6171003717472119,0.6161444912024162,0.637801562085799,0.6379756210920389,0.6291097340089047,0.6514435
49,Utah,29,0.6896551724137931,0.6428731648783771,0.6147654785304615,0.6139845581502105,0.6240476547931854,0.5976368
50,Vermont,6,0.6666666666666666,0.7189191045666692,0.6403328098426776,0.6076449924702878,0.6644814848597592,0.64170355
51,Virginia,78,0.5769230769230769,0.6014712226044181,0.6271327492288954,0.622793858783018,0.6122287981429894,0.57747376
53,Washington,70,0.6428571428571429,0.6641069050343562,0.667765988061635,0.6303457391178661,0.6692980466382594,0.5826383
54,West Virginia,16,0.6875,0.5289848857681075,0.5243556725027868,0.5619206250999511,0.5229879296553027,0.6733241
55,Wisconsin,53,0.5471698113207547,0.5666607831725351,0.5629840381429979,0.5927886702114914,0.5634243100486789,0.70125264
56,Wyoming,5,0.4,0.6320710431895111,0.5800680293731935,0.5949086263945804,0.5895534485205711,0.5995717
